"Id","Country","Year","disaster","deaths"
469,"Algeria",1930,"massMovements",0
470,"Algeria",1930,"storms",0
471,"Algeria",1930,"temperatures",0
472,"Algeria",1930,"volcanic",0
473,"Algeria",1930,"wildfires",0
474,"Algeria",1940,"drought",0
475,"Algeria",1940,"earthquakes",27.6
476,"Algeria",1940,"floods",0
477,"Algeria",1940,"fog",0
478,"Algeria",1940,"glacialLake",0
479,"Algeria",1940,"landslides",0
480,"Algeria",1940,"massMovements",0
481,"Algeria",1940,"storms",0
482,"Algeria",1940,"temperatures",0
483,"Algeria",1940,"volcanic",0
484,"Algeria",1940,"wildfires",0
485,"Algeria",1950,"drought",0
486,"Algeria",1950,"earthquakes",125
487,"Algeria",1950,"floods",2.5
488,"Algeria",1950,"fog",0
489,"Algeria",1950,"glacialLake",0
490,"Algeria",1950,"landslides",0
491,"Algeria",1950,"massMovements",0
492,"Algeria",1950,"storms",0
493,"Algeria",1950,"temperatures",0
494,"Algeria",1950,"volcanic",0
495,"Algeria",1950,"wildfires",0
496,"Algeria",1960,"drought",0
497,"Algeria",1960,"earthquakes",6.9
498,"Algeria",1960,"floods",15.3
499,"Algeria",1960,"fog",0
500,"Algeria",1960,"glacialLake",0
501,"Algeria",1960,"landslides",0
502,"Algeria",1960,"massMovements",0
503,"Algeria",1960,"storms",0
504,"Algeria",1960,"temperatures",0
505,"Algeria",1960,"volcanic",0
506,"Algeria",1960,"wildfires",0
507,"Algeria",1970,"drought",0
508,"Algeria",1970,"earthquakes",0
509,"Algeria",1970,"floods",3.2
510,"Algeria",1970,"fog",0
511,"Algeria",1970,"glacialLake",0
512,"Algeria",1970,"landslides",0
513,"Algeria",1970,"massMovements",0
514,"Algeria",1970,"storms",0
515,"Algeria",1970,"temperatures",0
516,"Algeria",1970,"volcanic",0
517,"Algeria",1970,"wildfires",0
518,"Algeria",1980,"drought",0
519,"Algeria",1980,"earthquakes",268.6
520,"Algeria",1980,"floods",16
521,"Algeria",1980,"fog",0
522,"Algeria",1980,"glacialLake",0
523,"Algeria",1980,"landslides",0
524,"Algeria",1980,"massMovements",0
525,"Algeria",1980,"storms",0
526,"Algeria",1980,"temperatures",0
527,"Algeria",1980,"volcanic",0
528,"Algeria",1980,"wildfires",0
529,"Algeria",1990,"drought",0
530,"Algeria",1990,"earthquakes",19.3
531,"Algeria",1990,"floods",10.3
532,"Algeria",1990,"fog",0
533,"Algeria",1990,"glacialLake",0
534,"Algeria",1990,"landslides",1.5
535,"Algeria",1990,"massMovements",0
536,"Algeria",1990,"storms",0
537,"Algeria",1990,"temperatures",0
538,"Algeria",1990,"volcanic",0
539,"Algeria",1990,"wildfires",2.2
540,"Algeria",2000,"drought",0
541,"Algeria",2000,"earthquakes",227.9
542,"Algeria",2000,"floods",131.2
543,"Algeria",2000,"fog",0
544,"Algeria",2000,"glacialLake",0
545,"Algeria",2000,"landslides",0
546,"Algeria",2000,"massMovements",0
547,"Algeria",2000,"storms",2.7
548,"Algeria",2000,"temperatures",4
549,"Algeria",2000,"volcanic",0
550,"Algeria",2000,"wildfires",0.8
551,"Algeria",2010,"drought",0
552,"Algeria",2010,"earthquakes",0.6
553,"Algeria",2010,"floods",9.7
554,"Algeria",2010,"fog",0
555,"Algeria",2010,"glacialLake",0
556,"Algeria",2010,"landslides",0
557,"Algeria",2010,"massMovements",0
558,"Algeria",2010,"storms",0
559,"Algeria",2010,"temperatures",0.8
560,"Algeria",2010,"volcanic",0
561,"Algeria",2010,"wildfires",0
562,"Algeria",2020,"drought",0
563,"Algeria",2020,"earthquakes",0
564,"Algeria",2020,"floods",4.3333335
565,"Algeria",2020,"fog",0
566,"Algeria",2020,"glacialLake",0
567,"Algeria",2020,"landslides",0
568,"Algeria",2020,"massMovements",0
569,"Algeria",2020,"storms",0
570,"Algeria",2020,"temperatures",0
571,"Algeria",2020,"volcanic",0
572,"Algeria",2020,"wildfires",44.666668
573,"American Samoa",1900,"drought",0
574,"American Samoa",1900,"earthquakes",0
575,"American Samoa",1900,"floods",0
576,"American Samoa",1900,"fog",0
577,"American Samoa",1900,"glacialLake",0
578,"American Samoa",1900,"landslides",0
579,"American Samoa",1900,"massMovements",0
580,"American Samoa",1900,"storms",0
581,"American Samoa",1900,"temperatures",0
582,"American Samoa",1900,"volcanic",0
583,"American Samoa",1900,"wildfires",0
584,"American Samoa",1910,"drought",0
585,"American Samoa",1910,"earthquakes",0
586,"American Samoa",1910,"floods",0
587,"American Samoa",1910,"fog",0
588,"American Samoa",1910,"glacialLake",0
589,"American Samoa",1910,"landslides",0
590,"American Samoa",1910,"massMovements",0
591,"American Samoa",1910,"storms",0
592,"American Samoa",1910,"temperatures",0
593,"American Samoa",1910,"volcanic",0
594,"American Samoa",1910,"wildfires",0
595,"American Samoa",1920,"drought",0
596,"American Samoa",1920,"earthquakes",0
597,"American Samoa",1920,"floods",0
598,"American Samoa",1920,"fog",0
599,"American Samoa",1920,"glacialLake",0
600,"American Samoa",1920,"landslides",0
601,"American Samoa",1920,"massMovements",0
602,"American Samoa",1920,"storms",0
603,"American Samoa",1920,"temperatures",0
604,"American Samoa",1920,"volcanic",0
605,"American Samoa",1920,"wildfires",0
606,"American Samoa",1930,"drought",0
607,"American Samoa",1930,"earthquakes",0
608,"American Samoa",1930,"floods",0
609,"American Samoa",1930,"fog",0
610,"American Samoa",1930,"glacialLake",0
611,"American Samoa",1930,"landslides",0
612,"American Samoa",1930,"massMovements",0
613,"American Samoa",1930,"storms",0
614,"American Samoa",1930,"temperatures",0
615,"American Samoa",1930,"volcanic",0
616,"American Samoa",1930,"wildfires",0
617,"American Samoa",1940,"drought",0
618,"American Samoa",1940,"earthquakes",0
619,"American Samoa",1940,"floods",0
620,"American Samoa",1940,"fog",0
621,"American Samoa",1940,"glacialLake",0
622,"American Samoa",1940,"landslides",0
623,"American Samoa",1940,"massMovements",0
624,"American Samoa",1940,"storms",0
625,"American Samoa",1940,"temperatures",0
626,"American Samoa",1940,"volcanic",0
627,"American Samoa",1940,"wildfires",0
628,"American Samoa",1950,"drought",0
629,"American Samoa",1950,"earthquakes",0
630,"American Samoa",1950,"floods",0
631,"American Samoa",1950,"fog",0
632,"American Samoa",1950,"glacialLake",0
633,"American Samoa",1950,"landslides",0
634,"American Samoa",1950,"massMovements",0
635,"American Samoa",1950,"storms",0
636,"American Samoa",1950,"temperatures",0
637,"American Samoa",1950,"volcanic",0
638,"American Samoa",1950,"wildfires",0
639,"American Samoa",1960,"drought",0
640,"American Samoa",1960,"earthquakes",0
641,"American Samoa",1960,"floods",0
642,"American Samoa",1960,"fog",0
643,"American Samoa",1960,"glacialLake",0
644,"American Samoa",1960,"landslides",0
645,"American Samoa",1960,"massMovements",0
646,"American Samoa",1960,"storms",9
647,"American Samoa",1960,"temperatures",0
648,"American Samoa",1960,"volcanic",0
649,"American Samoa",1960,"wildfires",0
650,"American Samoa",1970,"drought",0
651,"American Samoa",1970,"earthquakes",0
652,"American Samoa",1970,"floods",0
653,"American Samoa",1970,"fog",0
654,"American Samoa",1970,"glacialLake",0
655,"American Samoa",1970,"landslides",0
