"Country","Year","disaster","economic_damages","deaths"
"Algeria",1920,"drought",0,0
"Algeria",1920,"earthquakes",0,0
"Algeria",1920,"floods",0,300
"Algeria",1920,"fog",0,0
"Algeria",1920,"glacialLake",0,0
"Algeria",1920,"landslides",0,0
"Algeria",1920,"massMovements",0,0
"Algeria",1920,"storms",0,0
"Algeria",1920,"temperatures",0,0
"Algeria",1920,"volcanic",0,0
"Algeria",1920,"wildfires",0,0
"Algeria",1930,"drought",0,0
"Algeria",1930,"earthquakes",0,0
"Algeria",1930,"floods",0,0
"Algeria",1930,"fog",0,0
"Algeria",1930,"glacialLake",0,0
"Algeria",1930,"landslides",0,0
"Algeria",1930,"massMovements",0,0
"Algeria",1930,"storms",0,0
"Algeria",1930,"temperatures",0,0
"Algeria",1930,"volcanic",0,0
"Algeria",1930,"wildfires",0,0
"Algeria",1940,"drought",0,0
"Algeria",1940,"earthquakes",0,27.6
"Algeria",1940,"floods",0,0
"Algeria",1940,"fog",0,0
"Algeria",1940,"glacialLake",0,0
"Algeria",1940,"landslides",0,0
"Algeria",1940,"massMovements",0,0
"Algeria",1940,"storms",0,0
"Algeria",1940,"temperatures",0,0
"Algeria",1940,"volcanic",0,0
"Algeria",1940,"wildfires",0,0
"Algeria",1950,"drought",0,0
"Algeria",1950,"earthquakes",6e+05,125
"Algeria",1950,"floods",0,2.5
"Algeria",1950,"fog",0,0
"Algeria",1950,"glacialLake",0,0
"Algeria",1950,"landslides",0,0
"Algeria",1950,"massMovements",0,0
"Algeria",1950,"storms",0,0
"Algeria",1950,"temperatures",0,0
"Algeria",1950,"volcanic",0,0
"Algeria",1950,"wildfires",0,0
"Algeria",1960,"drought",0,0
"Algeria",1960,"earthquakes",2e+05,6.9
"Algeria",1960,"floods",2300000,15.3
"Algeria",1960,"fog",0,0
"Algeria",1960,"glacialLake",0,0
"Algeria",1960,"landslides",0,0
"Algeria",1960,"massMovements",0,0
"Algeria",1960,"storms",0,0
"Algeria",1960,"temperatures",0,0
"Algeria",1960,"volcanic",0,0
"Algeria",1960,"wildfires",0,0
"Algeria",1970,"drought",0,0
"Algeria",1970,"earthquakes",0,0
"Algeria",1970,"floods",4e+06,3.2
"Algeria",1970,"fog",0,0
"Algeria",1970,"glacialLake",0,0
"Algeria",1970,"landslides",0,0
"Algeria",1970,"massMovements",0,0
"Algeria",1970,"storms",0,0
"Algeria",1970,"temperatures",0,0
"Algeria",1970,"volcanic",0,0
"Algeria",1970,"wildfires",0,0
"Algeria",1980,"drought",0,0
"Algeria",1980,"earthquakes",520200000,268.6
"Algeria",1980,"floods",0,16
"Algeria",1980,"fog",0,0
"Algeria",1980,"glacialLake",0,0
"Algeria",1980,"landslides",0,0
"Algeria",1980,"massMovements",0,0
"Algeria",1980,"storms",0,0
"Algeria",1980,"temperatures",0,0
"Algeria",1980,"volcanic",0,0
"Algeria",1980,"wildfires",0,0
"Algeria",1990,"drought",0,0
"Algeria",1990,"earthquakes",6092900,19.3
"Algeria",1990,"floods",90000,10.3
"Algeria",1990,"fog",0,0
"Algeria",1990,"glacialLake",0,0
"Algeria",1990,"landslides",0,1.5
"Algeria",1990,"massMovements",0,0
"Algeria",1990,"storms",0,0
"Algeria",1990,"temperatures",0,0
"Algeria",1990,"volcanic",0,0
"Algeria",1990,"wildfires",0,2.2
"Algeria",2000,"drought",0,0
"Algeria",2000,"earthquakes",5e+08,227.9
"Algeria",2000,"floods",70101700,131.2
"Algeria",2000,"fog",0,0
"Algeria",2000,"glacialLake",0,0
"Algeria",2000,"landslides",0,0
"Algeria",2000,"massMovements",0,0
"Algeria",2000,"storms",0,2.7
"Algeria",2000,"temperatures",0,4
"Algeria",2000,"volcanic",0,0
"Algeria",2000,"wildfires",0,0.8
"Algeria",2010,"drought",0,0
"Algeria",2010,"earthquakes",0,0.6
"Algeria",2010,"floods",77900000,9.7
"Algeria",2010,"fog",0,0
"Algeria",2010,"glacialLake",0,0
"Algeria",2010,"landslides",0,0
"Algeria",2010,"massMovements",0,0
"Algeria",2010,"storms",0,0
"Algeria",2010,"temperatures",0,0.8
"Algeria",2010,"volcanic",0,0
"Algeria",2010,"wildfires",0,0
"Algeria",2020,"drought",0,0
"Algeria",2020,"earthquakes",0,0
"Algeria",2020,"floods",0,4.3333335
"Algeria",2020,"fog",0,0
"Algeria",2020,"glacialLake",0,0
"Algeria",2020,"landslides",0,0
"Algeria",2020,"massMovements",0,0
"Algeria",2020,"storms",0,0
"Algeria",2020,"temperatures",0,0
"Algeria",2020,"volcanic",0,0
"Algeria",2020,"wildfires",0,44.666668
"American Samoa",1900,"drought",0,0
"American Samoa",1900,"earthquakes",0,0
"American Samoa",1900,"floods",0,0
"American Samoa",1900,"fog",0,0
"American Samoa",1900,"glacialLake",0,0
"American Samoa",1900,"landslides",0,0
"American Samoa",1900,"massMovements",0,0
"American Samoa",1900,"storms",0,0
"American Samoa",1900,"temperatures",0,0
"American Samoa",1900,"volcanic",0,0
"American Samoa",1900,"wildfires",0,0
"American Samoa",1910,"drought",0,0
"American Samoa",1910,"earthquakes",0,0
"American Samoa",1910,"floods",0,0
"American Samoa",1910,"fog",0,0
"American Samoa",1910,"glacialLake",0,0
"American Samoa",1910,"landslides",0,0
"American Samoa",1910,"massMovements",0,0
"American Samoa",1910,"storms",0,0
"American Samoa",1910,"temperatures",0,0
"American Samoa",1910,"volcanic",0,0
"American Samoa",1910,"wildfires",0,0
"American Samoa",1920,"drought",0,0
"American Samoa",1920,"earthquakes",0,0
"American Samoa",1920,"floods",0,0
"American Samoa",1920,"fog",0,0
"American Samoa",1920,"glacialLake",0,0
"American Samoa",1920,"landslides",0,0
"American Samoa",1920,"massMovements",0,0
"American Samoa",1920,"storms",0,0
"American Samoa",1920,"temperatures",0,0
"American Samoa",1920,"volcanic",0,0
"American Samoa",1920,"wildfires",0,0
"American Samoa",1930,"drought",0,0
"American Samoa",1930,"earthquakes",0,0
"American Samoa",1930,"floods",0,0
"American Samoa",1930,"fog",0,0
"American Samoa",1930,"glacialLake",0,0
"American Samoa",1930,"landslides",0,0
"American Samoa",1930,"massMovements",0,0
"American Samoa",1930,"storms",0,0
"American Samoa",1930,"temperatures",0,0
"American Samoa",1930,"volcanic",0,0
"American Samoa",1930,"wildfires",0,0
"American Samoa",1940,"drought",0,0
"American Samoa",1940,"earthquakes",0,0
"American Samoa",1940,"floods",0,0
"American Samoa",1940,"fog",0,0
"American Samoa",1940,"glacialLake",0,0
"American Samoa",1940,"landslides",0,0
"American Samoa",1940,"massMovements",0,0
"American Samoa",1940,"storms",0,0
"American Samoa",1940,"temperatures",0,0
"American Samoa",1940,"volcanic",0,0
"American Samoa",1940,"wildfires",0,0
"American Samoa",1950,"drought",0,0
"American Samoa",1950,"earthquakes",0,0
"American Samoa",1950,"floods",0,0
"American Samoa",1950,"fog",0,0
"American Samoa",1950,"glacialLake",0,0
"American Samoa",1950,"landslides",0,0
"American Samoa",1950,"massMovements",0,0
"American Samoa",1950,"storms",0,0
"American Samoa",1950,"temperatures",0,0
"American Samoa",1950,"volcanic",0,0
"American Samoa",1950,"wildfires",0,0
"American Samoa",1960,"drought",0,0
"American Samoa",1960,"earthquakes",0,0
"American Samoa",1960,"floods",0,0
"American Samoa",1960,"fog",0,0
"American Samoa",1960,"glacialLake",0,0
"American Samoa",1960,"landslides",0,0
"American Samoa",1960,"massMovements",0,0
"American Samoa",1960,"storms",0,9
"American Samoa",1960,"temperatures",0,0
"American Samoa",1960,"volcanic",0,0
"American Samoa",1960,"wildfires",0,0
"American Samoa",1970,"drought",0,0
"American Samoa",1970,"earthquakes",0,0
"American Samoa",1970,"floods",0,0
"American Samoa",1970,"fog",0,0
"American Samoa",1970,"glacialLake",0,0
"American Samoa",1970,"landslides",0,0
"American Samoa",1970,"massMovements",0,0
"American Samoa",1970,"storms",0,0
"American Samoa",1970,"temperatures",0,0
"American Samoa",1970,"volcanic",0,0
"American Samoa",1970,"wildfires",0,0
"American Samoa",1980,"drought",0,0
"American Samoa",1980,"earthquakes",0,0
"American Samoa",1980,"floods",0,0
"American Samoa",1980,"fog",0,0
"American Samoa",1980,"glacialLake",0,0
"American Samoa",1980,"landslides",0,0
"American Samoa",1980,"massMovements",0,0
"American Samoa",1980,"storms",5e+05,0
"American Samoa",1980,"temperatures",0,0
"American Samoa",1980,"volcanic",0,0
"American Samoa",1980,"wildfires",0,0
"American Samoa",1990,"drought",0,0
"American Samoa",1990,"earthquakes",0,0
"American Samoa",1990,"floods",0,0
"American Samoa",1990,"fog",0,0
"American Samoa",1990,"glacialLake",0,0
"American Samoa",1990,"landslides",0,0
"American Samoa",1990,"massMovements",0,0
"American Samoa",1990,"storms",0,0
"American Samoa",1990,"temperatures",0,0
"American Samoa",1990,"volcanic",0,0
"American Samoa",1990,"wildfires",0,0
"American Samoa",2000,"drought",0,0
"American Samoa",2000,"earthquakes",0,3.4
"American Samoa",2000,"floods",5e+06,0.6
"American Samoa",2000,"fog",0,0
"American Samoa",2000,"glacialLake",0,0
"American Samoa",2000,"landslides",0,0
"American Samoa",2000,"massMovements",0,0
"American Samoa",2000,"storms",1.5e+07,0
"American Samoa",2000,"temperatures",0,0
"American Samoa",2000,"volcanic",0,0
"American Samoa",2000,"wildfires",0,0
"American Samoa",2010,"drought",0,0
"American Samoa",2010,"earthquakes",0,0
"American Samoa",2010,"floods",0,0
"American Samoa",2010,"fog",0,0
"American Samoa",2010,"glacialLake",0,0
"American Samoa",2010,"landslides",0,0
"American Samoa",2010,"massMovements",0,0
"American Samoa",2010,"storms",0,0
"American Samoa",2010,"temperatures",0,0
"American Samoa",2010,"volcanic",0,0
"American Samoa",2010,"wildfires",0,0
"American Samoa",2020,"drought",0,0
"American Samoa",2020,"earthquakes",0,0
"American Samoa",2020,"floods",0,0
"American Samoa",2020,"fog",0,0
"American Samoa",2020,"glacialLake",0,0
"American Samoa",2020,"landslides",0,0
"American Samoa",2020,"massMovements",0,0
"American Samoa",2020,"storms",0,0
"American Samoa",2020,"temperatures",0,0
"American Samoa",2020,"volcanic",0,0
"American Samoa",2020,"wildfires",0,0
"Angola",1900,"drought",0,0
"Angola",1900,"earthquakes",0,0
"Angola",1900,"floods",0,0
"Angola",1900,"fog",0,0
"Angola",1900,"glacialLake",0,0
"Angola",1900,"landslides",0,0
"Angola",1900,"massMovements",0,0
"Angola",1900,"storms",0,0
"Angola",1900,"temperatures",0,0
"Angola",1900,"volcanic",0,0
"Angola",1900,"wildfires",0,0
"Angola",1910,"drought",0,0
"Angola",1910,"earthquakes",0,0
"Angola",1910,"floods",0,0
